DeliveryCustomerAccountKey,MovementDateKey,DispensedWeight,last_order_date,0,MovementDateKey_pred,Error,Abs(Error),,,Row Labels,Average of Error,Min of Error,Max of Error,Count of Error,Average of Abs(Error),Min of Abs(Error),Max of Abs(Error)
990991692,16/08/2019,48.2,10/07/2019,49.53348673,16/08/2019,-2.766569977,2.766569977,,,990991692,-25.66800002,-48.56943006,-2.766569977,2,25.66800002,2.766569977,48.56943006
990991692,22/10/2019,44.7,16/08/2019,66.41053524,22/10/2019,-48.56943006,48.56943006,,,991068621,13.37580649,13.37580649,13.37580649,1,13.37580649,13.37580649,13.37580649
991068621,26/08/2019,58.9,11/07/2019,51.02164998,26/08/2019,13.37580649,13.37580649,,,991129164,25.21067425,-35.97608216,56.11704023,3,49.19472902,35.97608216,56.11704023
991129164,28/09/2019,62.2,1/08/2019,27.68455777,28/09/2019,55.49106468,55.49106468,,,991298890,-14.09525786,-14.09525786,-14.09525786,1,14.09525786,14.09525786,14.09525786
991129164,5/12/2019,44.5,28/09/2019,60.50935656,5/12/2019,-35.97608216,35.97608216,,,992037096,17.77288882,-34.1328764,75.05210679,5,44.0085964,5.490366823,75.05210679
991129164,27/02/2020,66.4,5/12/2019,29.13828528,27/02/2020,56.11704023,56.11704023,,,992151505,10.50511291,10.50511291,10.50511291,1,10.50511291,10.50511291,10.50511291
991298890,27/12/2019,44.1,10/07/2019,50.31600872,27/12/2019,-14.09525786,14.09525786,,,992283717,2.477885446,-7.642078106,10.75213736,3,7.572604183,4.323597088,10.75213736
992037096,27/08/2019,66.7,10/07/2019,89.46662856,27/08/2019,-34.1328764,34.1328764,,,992524526,-6.834343835,-36.18927305,25.08905158,6,17.14553396,0.550800246,36.18927305
992037096,8/10/2019,74.1,27/08/2019,70.03163818,8/10/2019,5.490366823,5.490366823,,,992626386,-11.41916252,-46.76241523,23.92409019,2,35.34325271,23.92409019,46.76241523
992037096,12/11/2019,45,8/10/2019,59.15537665,12/11/2019,-31.45639255,31.45639255,,,992638039,-21.06879697,-63.8401723,25.70753078,5,38.42944202,17.69408185,63.8401723
992037096,26/11/2019,70.7,12/11/2019,18.44475373,26/11/2019,73.91123942,73.91123942,,,992690960,-10.22096507,-31.46613999,6.804433916,6,14.36429212,5.625547242,31.46613999
992037096,21/01/2020,114,26/11/2019,28.44059826,21/01/2020,75.05210679,75.05210679,,,992721238,26.01946582,18.53724868,30.82855401,4,26.01946582,18.53724868,30.82855401
992151505,9/09/2019,54.2,10/07/2019,48.50622881,9/09/2019,10.50511291,10.50511291,,,992729448,14.9132961,0.315963477,29.51062873,2,14.9132961,0.315963477,29.51062873
992283717,28/08/2019,45.7,11/07/2019,43.72411613,28/08/2019,4.323597088,4.323597088,,,992760513,10.87029214,-30.76199315,74.057458,5,28.78307954,2.049655414,74.057458
992283717,6/11/2019,63.5,28/08/2019,56.67239278,6/11/2019,10.75213736,10.75213736,,,992761565,-5.373746246,-34.42668984,46.39013839,3,36.30050517,28.08468729,46.39013839
992283717,29/01/2020,51,6/11/2019,54.89745983,29/01/2020,-7.642078106,7.642078106,,,992761916,83.22142317,83.22142317,83.22142317,1,83.22142317,83.22142317,83.22142317
992524526,14/08/2019,77.3,11/07/2019,57.90616313,14/08/2019,25.08905158,25.08905158,,,992764766,-1.49262064,-38.35564577,25.76923124,4,18.48431661,1.59822874,38.35564577
992524526,4/09/2019,54.5,14/08/2019,54.80018613,4/09/2019,-0.550800246,0.550800246,,,992788996,-192.8844355,-192.8844355,-192.8844355,1,192.8844355,192.8844355,192.8844355
992524526,9/10/2019,72.3,4/09/2019,68.07441291,9/10/2019,5.844518793,5.844518793,,,992827378,13.05849003,4.385709648,22.24721968,3,13.05849003,4.385709648,22.24721968
992524526,13/11/2019,55.2,9/10/2019,67.06595354,13/11/2019,-21.49629264,21.49629264,,,992889140,-23.2777929,-43.62193259,0.795861339,4,23.67572357,0.795861339,43.62193259
992524526,28/12/2019,52.8,13/11/2019,60.03532522,28/12/2019,-13.70326745,13.70326745,,,Grand Total,-1.573691896,-192.8844355,83.22142317,62,29.06762402,0.315963477,192.8844355
992524526,19/02/2020,51,28/12/2019,69.45652925,19/02/2020,-36.18927305,36.18927305,,,,,,,,,,
992626386,12/09/2019,41.4,10/07/2019,31.49542666,12/09/2019,23.92409019,23.92409019,,,,,,,,,,
992626386,21/12/2019,53.6,12/09/2019,78.66465456,21/12/2019,-46.76241523,46.76241523,,,,,,,,,,
992638039,19/08/2019,64.9,11/07/2019,53.41654088,19/08/2019,17.69408185,17.69408185,,,,,,,,,,
992638039,23/09/2019,66.1,19/08/2019,49.10732216,23/09/2019,25.70753078,25.70753078,,,,,,,,,,
992638039,4/11/2019,59.7,23/09/2019,80.8941926,4/11/2019,-35.50116014,35.50116014,,,,,,,,,,
992638039,6/01/2020,60,4/11/2019,98.30410338,6/01/2020,-63.8401723,63.8401723,,,,,,,,,,
992638039,24/02/2020,32.7,6/01/2020,48.85519467,24/02/2020,-49.40426504,49.40426504,,,,,,,,,,
992690960,13/08/2019,77.4,11/07/2019,72.13336815,13/08/2019,6.804433916,6.804433916,,,,,,,,,,
992690960,10/09/2019,65.4,13/08/2019,81.82650713,10/09/2019,-25.11698338,25.11698338,,,,,,,,,,
992690960,15/10/2019,74.7,10/09/2019,79.01358752,15/10/2019,-5.774548222,5.774548222,,,,,,,,,,
992690960,8/11/2019,49.8,15/10/2019,55.47625379,8/11/2019,-11.39809997,11.39809997,,,,,,,,,,
992690960,10/12/2019,55.7,8/11/2019,52.56657019,10/12/2019,5.625547242,5.625547242,,,,,,,,,,
992690960,24/01/2020,63.6,10/12/2019,83.61246504,24/01/2020,-31.46613999,31.46613999,,,,,,,,,,
992721238,29/08/2019,56.8,10/07/2019,39.28938133,29/08/2019,30.82855401,30.82855401,,,,,,,,,,
992721238,24/10/2019,88.4,29/08/2019,65.67740212,24/10/2019,25.70429625,25.70429625,,,,,,,,,,
992721238,28/11/2019,53.5,24/10/2019,37.98084607,28/11/2019,29.00776436,29.00776436,,,,,,,,,,
992721238,16/01/2020,49,28/11/2019,39.91674815,16/01/2020,18.53724868,18.53724868,,,,,,,,,,
992729448,13/08/2019,73.2,10/07/2019,72.96871473,13/08/2019,0.315963477,0.315963477,,,,,,,,,,
992729448,13/09/2019,58.2,13/08/2019,41.02481408,13/09/2019,29.51062873,29.51062873,,,,,,,,,,
