,Date,cons,diff,disp_wt,pred_cons
990991692,2019-07-11,,-89.55001932934132,33.4,3.490293544
991298890,2019-07-11,,-100.0,8.7,0.0
992037096,2019-07-11,,-98.563038746875,64.0,0.919655202
992151505,2019-07-11,,-93.1152453877551,39.2,2.698823808
992626386,2019-07-11,,-98.22930418007662,52.199999999999996,0.9243032179999999
992721238,2019-07-11,,-95.21522498630137,43.8,2.095731456
992729448,2019-07-11,,-94.32262684729064,40.6,2.3050135
992760513,2019-07-11,,-98.2203857857143,75.6,1.345388346
992761565,2019-07-11,,-94.80062638655461,11.9,0.61872546
992764766,2019-07-11,,-97.87605772999999,80.0,1.699153816
992788996,2019-07-11,,,25.4,
992827378,2019-07-11,,-98.66158065099457,55.3,0.7401459
991068621,2019-07-13,,-100.0,54.400000000000006,0.0
992283717,2019-07-13,,-98.78190686206896,40.6,0.494545814
992524526,2019-07-13,,-96.5729521737705,61.0,2.090499174
992638039,2019-07-13,,-92.38698168047337,33.8,2.573200192
992690960,2019-07-13,,-95.05660579545454,39.6,1.957584105
992761916,2019-07-13,,-99.99999246666668,15.0,1.13e-06
992889140,2019-07-13,,-72.00233651515151,6.6,1.84784579
991129164,2019-08-03,,-100.0,42.6,0.0
992690960,2019-08-14,,9.81015616537467,77.4,84.993060872
992729448,2019-08-14,,-3.6406890642076566,73.2,70.535015605
992524526,2019-08-15,,5.196143174644243,77.3,81.316618674
