,Date,cons,diff,disp_wt,pred_cons
990991692,2019-07-11,,-88.78032191317365,33.4,3.747372481
991298890,2019-07-11,,-99.97674597701149,8.7,0.0020231
992037096,2019-07-11,,-95.225309559375,64.0,3.055801882
992151505,2019-07-11,,-92.25150711734695,39.2,3.03740921
992626386,2019-07-11,,-99.73637005555557,52.199999999999996,0.137614831
992721238,2019-07-11,,-94.32115326255708,43.8,2.487334871
992729448,2019-07-11,,-96.39774511083745,40.6,1.462515485
992760513,2019-07-11,,-98.72580938227514,75.6,0.963288107
992761565,2019-07-11,,-81.87740272268908,11.9,2.156589076
992764766,2019-07-11,,-97.95104705,80.0,1.63916236
992788996,2019-07-11,,-91.32977205905512,25.4,2.202237897
992827378,2019-07-11,,-96.93154683725136,55.3,1.696854599
991068621,2019-07-13,,-99.16821999632351,54.400000000000006,0.45248832200000005
992283717,2019-07-13,,-97.40192071428571,40.6,1.05482019
992524526,2019-07-13,,-98.64109873606557,61.0,0.828929771
992638039,2019-07-13,,-96.75658710059172,33.8,1.09627356
992690960,2019-07-13,,-100.0,39.6,0.0
992761916,2019-07-13,,-99.99999577333334,15.0,6.34e-07
992889140,2019-07-13,,-88.52807434848484,6.6,0.7571470929999999
991129164,2019-08-03,,-100.0,42.6,0.0
992690960,2019-08-14,,-4.199467556847539,77.4,74.14961211100001
992729448,2019-08-14,,-2.313935450819683,73.2,71.50619925
992524526,2019-08-15,,-20.76624078266494,77.3,61.247695875
